,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,11662823,11790977,11831002,12271582,13644035,12867906,14685139,15972548,16026443,16089076,15886868,16579957,16955829,16515621,17428294,17817320,18439587,18201888,18322002,16540675,16961144,17167110
Luftemissionsart CH4,91175,92779,92790,95066,96663,99090,100940,102142,103346,104636,106183,107912,109274,110160,111789,112863,115395,117090,118257,117905,116168,116355
Luftemissionsart N2O,246,257,255,259,274,251,293,295,295,327,329,357,404,472,517,584,655,1065,1125,1006,1077,1114
Luftemissionsart NOX,120405,117597,115209,115220,118549,114884,116720,111308,106815,103933,97252,94709,89264,81905,75054,73978,73754,113092,106275,85779,79140,69057
Luftemissionsart SO2,8687,4991,2964,2726,2672,2323,2072,482,255,252,259,258,246,280,282,276,295,347,344,326,329,332
Luftemissionsart NMVOC,13199,12807,12625,12421,12119,13286,12866,12380,12139,11944,12101,12106,11477,11277,10636,10188,10010,11605,11065,10427,10413,10216
Luftemissionsart NH3,61,68,67,67,69,67,71,70,69,70,69,69,68,68,66,66,68,124,121,125,125,126
Luftemissionsart Feinst10,4537,5018,45122,43958,46579,48670,46691,44346,41912,41206,39258,40332,40095,40029,36534,46009,49826,50718,50813,51812,51959,41985
Luftemissionsart HFC,0,0,0,0,0,285,329,372,405,438,476,528,560,587,628,656,697,718,730,711,734,726
Luftemissionsart PFC,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,14511871,13212016,14215764,13950161,14393902,5828020,13578900,15635118,14671288,25166722,22740542,23108656,31355228,31926202,25203566,27407950,23456514,26958824,26792100,25753282,27796741,28835490
Luftemissionsart CH4,201,182,189,183,185,59,131,149,139,235,214,218,291,291,242,264,228,257,259,249,227,274
Luftemissionsart N2O,552,501,553,547,571,628,554,653,608,1064,950,963,1328,1340,1099,1186,1008,1163,1156,1112,1177,1183
Luftemissionsart NOX,229451,207322,222937,218691,225582,87437,220646,257802,241187,423448,380215,380551,525816,529645,435477,467113,397761,459087,458804,435650,457710,434960
Luftemissionsart SO2,207837,184345,202311,201531,211549,66626,193332,230149,215208,394940,350547,192307,273319,276370,224331,157749,131888,156411,157671,148584,15742,16559
Luftemissionsart NMVOC,25526,22692,24700,24461,25424,2840,6421,7352,6873,11645,10561,10771,14457,14470,12016,13086,11267,12719,12845,12330,11236,13574
Luftemissionsart NH3,62,56,59,58,59,22,55,64,60,104,93,94,130,131,107,116,99,114,113,109,115,116
Luftemissionsart Feinst10,160763,147517,124450,123615,129395,31738,82127,96750,90517,161750,144016,81931,113620,114386,92671,66987,57044,66648,68572,64448,55163,73423
Luftemissionsart HFC,0,0,0,0,0,5,6,7,8,9,12,15,13,19,1,1,1,1,1,2,2,2
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,18699593,19557979,20275392,20842863,22306440,23667293,23020961,22800977,23190933,23852523,27400498,28710472,30225266,30391365,27695008,26289812,25669185,27638912,27745107,26981014,26710762,25735107
Luftemissionsart CH4,96,94,102,99,102,106,101,95,92,87,93,95,95,96,93,93,95,90,81,81,87,87
Luftemissionsart N2O,576,603,626,644,691,714,714,708,718,735,846,888,937,941,883,839,819,884,887,862,854,823
Luftemissionsart NOX,87984,92329,95491,99436,107132,115185,111319,110146,110923,112809,129382,135573,146439,153386,147377,142042,138784,152471,158909,154776,154319,150898
Luftemissionsart SO2,3737,3402,2989,2538,2606,2634,2434,2282,2197,2134,2310,2276,2227,2069,1779,1694,1657,1788,1802,1754,1737,1678
Luftemissionsart NMVOC,4501,4724,4936,4908,4808,4931,4567,4732,4709,4898,4834,4546,4490,4528,4118,3827,3749,3936,4131,4051,3972,3505
Luftemissionsart NH3,971,1021,1056,1087,1169,1241,1207,1198,1221,1261,1456,1532,1617,1625,1526,1454,1425,1537,1549,1508,1494,1443
Luftemissionsart Feinst10,1070,1126,1163,1198,1291,1369,1332,1324,1349,1393,1611,1694,1788,1794,1681,1594,1556,1701,1718,1668,1647,1585
Luftemissionsart HFC,0,0,0,0,0,32,37,41,48,52,63,71,71,76,61,63,65,64,57,59,60,59
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,8284046,8373851,8456277,8690754,9558819,9914942,10308862,9377033,9507586,10026145,9809211,10403261,9907848,9933209,8351297,8948062,8984971,8793180,9411628,9741209,9761595,9908642
Luftemissionsart CH4,219,216,216,198,209,237,258,272,197,205,130,151,157,139,166,189,200,183,211,221,226,229
Luftemissionsart N2O,84,89,92,96,107,117,121,123,124,134,135,146,173,205,229,271,297,511,550,616,665,685
Luftemissionsart NOX,38063,37225,37147,37873,40442,40395,40765,39214,37401,36703,34957,34440,32503,29240,27046,27449,26559,36587,35413,34218,29412,23956
Luftemissionsart SO2,3505,1889,1315,1205,1168,1095,1056,435,367,345,329,293,200,277,169,122,55,79,65,69,68,70
Luftemissionsart NMVOC,2003,1927,1835,1764,1759,1666,1631,1535,1433,1378,1285,1211,1084,899,782,736,654,1000,947,947,887,830
Luftemissionsart NH3,30,33,31,31,32,35,38,39,40,40,39,39,35,39,36,38,37,61,66,70,73,74
Luftemissionsart Feinst10,1488,1414,1352,1288,1306,1246,1252,1174,1091,1091,1039,968,890,765,678,643,575,1659,1678,1782,1702,1631
Luftemissionsart HFC,0,0,0,0,0,654,724,790,858,927,969,1017,1062,1129,1171,1207,1236,1208,1175,1136,1063,971
Luftemissionsart PFC,0,0,0,0,0,44,46,46,45,43,39,31,22,15,9,6,4,3,3,2,2,2
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,3003016,3013115,2955832,3116337,3463305,3582411,3622793,3579861,3536120,3631729,3597472,3785819,3465587,3480472,3411214,3513567,3074162,2964715,3441164,4763125,4366070,4459106
Luftemissionsart CH4,101,92,92,71,72,70,70,68,52,54,51,69,63,66,55,49,51,54,58,84,103,101
Luftemissionsart N2O,38,40,41,43,47,51,52,52,53,57,58,63,74,88,97,112,107,191,211,247,275,286
Luftemissionsart NOX,16459,16082,16024,16307,17379,17311,17435,16745,15973,15664,14947,14731,13898,12483,11523,11346,9538,15974,16089,16044,13800,11846
Luftemissionsart SO2,1624,913,655,560,534,483,452,164,117,107,107,97,69,93,47,35,15,25,23,28,28,29
Luftemissionsart NMVOC,901,856,819,767,763,720,702,657,612,588,550,519,464,386,333,306,233,458,453,461,424,395
Luftemissionsart NH3,15,16,15,15,15,15,16,16,16,16,16,16,14,15,14,14,11,26,30,39,38,39
Luftemissionsart Feinst10,659,623,597,563,570,543,545,511,474,474,452,422,389,336,298,283,207,716,760,856,798,770
Luftemissionsart HFC,0,0,0,0,0,30,36,41,46,51,57,64,58,61,64,69,62,62,73,102,92,91
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,4797348,5866937,5151272,4952157,4767879,4489421,5024593,5075468,4457397,4260574,4152489,4565695,3412905,3671178,3667064,3942747,3701279,3660368,3822473,3309863,3310188,3489855
Luftemissionsart CH4,1509,1415,1482,1018,1038,1018,1009,1082,755,723,692,814,700,580,537,542,627,525,514,557,546,564
Luftemissionsart N2O,53,58,56,45,44,43,47,48,38,36,35,39,30,31,28,34,34,29,30,27,30,31
Luftemissionsart NOX,5417,5975,5431,5285,5189,4901,4941,4897,4474,4309,4184,4350,3635,3681,3593,3754,3644,3433,3517,3355,3385,3473
Luftemissionsart SO2,5010,5047,4356,3062,2698,2453,2615,2603,2161,1793,1721,1796,1137,1305,833,743,394,246,109,133,208,214
Luftemissionsart NMVOC,1615,1347,1419,730,673,624,547,587,401,352,343,356,305,296,276,292,291,302,299,325,312,313
Luftemissionsart NH3,104,130,109,110,103,98,108,106,106,101,101,103,73,85,86,91,82,90,92,84,80,82
Luftemissionsart Feinst10,569,475,472,241,219,183,178,184,139,124,118,120,100,99,87,96,98,75,72,77,83,84
Luftemissionsart HFC,0,0,0,0,0,227,250,273,294,319,328,339,358,385,410,429,442,432,416,396,368,341
Luftemissionsart PFC,0,0,0,0,0,17,17,17,17,16,15,12,8,5,3,2,1,1,1,1,1,1
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,4044820,4248512,4188319,4464840,4626342,4705236,5074635,4251259,4071195,4459921,4414185,4522827,4122155,4409714,3379451,3324034,3582834,3485514,3588592,3540058,3671561,3863792
Luftemissionsart CH4,332,310,331,288,306,322,340,260,208,299,308,432,381,419,331,317,362,334,341,408,371,387
Luftemissionsart N2O,62,65,65,66,68,68,70,61,58,63,63,67,71,84,86,89,114,99,105,104,106,108
Luftemissionsart NOX,20561,20066,19742,19879,20780,20428,20547,19394,18369,18143,17281,17026,15830,14317,13086,11794,13511,11652,11013,10429,9740,9363
Luftemissionsart SO2,2458,1839,1467,1319,1237,1150,1236,630,544,684,720,641,414,571,260,169,53,61,36,32,26,27
Luftemissionsart NMVOC,1721,1596,1513,1362,1312,1217,1176,1069,985,953,890,850,754,652,564,481,515,535,487,496,455,446
Luftemissionsart NH3,60,70,70,74,75,81,85,73,71,78,78,76,64,65,58,54,55,68,68,68,65,68
Luftemissionsart Feinst10,950,902,874,821,829,792,797,746,701,705,676,640,597,540,487,429,474,512,480,465,454,452
Luftemissionsart HFC,0,0,0,0,0,27,32,37,41,44,47,48,47,51,40,39,48,48,48,51,55,55
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,2497351,2844224,2384385,2402264,2237139,2108856,2379742,2365882,2150812,1959674,1968085,2200404,1770075,1991266,1781438,1850264,1637121,1673696,1886187,1749927,1707743,1835629
Luftemissionsart CH4,532,493,488,402,398,392,393,413,313,305,316,403,385,415,358,344,356,327,361,415,370,386
Luftemissionsart N2O,23,25,22,20,19,18,20,18,17,16,16,17,14,19,15,17,16,16,18,18,19,20
Luftemissionsart NOX,2894,3053,2752,2737,2699,2591,2727,2630,2444,2290,2221,2281,1956,1942,1713,1754,1701,1686,1802,1903,1782,1834
Luftemissionsart SO2,2153,2143,1657,1405,1186,1045,1129,917,907,751,732,675,416,584,265,163,39,51,27,23,16,17
Luftemissionsart NMVOC,498,421,406,270,243,226,212,178,159,147,139,138,115,120,96,94,90,105,106,123,116,113
Luftemissionsart NH3,58,68,56,58,53,51,56,53,54,48,48,47,34,37,32,31,27,32,34,33,32,33
Luftemissionsart Feinst10,157,133,121,78,70,61,61,50,47,43,41,39,32,37,27,27,25,55,53,59,62,63
Luftemissionsart HFC,0,0,0,0,0,20,22,27,33,41,49,62,73,85,94,104,114,123,130,138,144,147
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,825570,890706,862889,943194,939290,898387,968317,954212,1038567,1091452,1138403,1323301,1169332,1253505,1097055,1101946,1065581,1088479,1117802,1150721,1299217,1383728
Luftemissionsart CH4,100,94,102,90,90,87,83,85,72,74,80,115,98,110,82,75,79,73,70,66,71,72
Luftemissionsart N2O,27,27,27,27,26,24,24,19,18,18,17,17,17,18,17,18,19,18,18,20,22,23
Luftemissionsart NOX,6345,6119,5916,5831,5883,5611,5523,5233,4910,4716,4418,4328,3984,3576,3231,3083,2954,2218,2259,2550,2631,2627
Luftemissionsart SO2,638,509,420,384,341,293,290,199,183,156,148,165,103,150,59,36,11,13,8,7,6,6
Luftemissionsart NMVOC,665,610,568,507,469,420,398,364,333,315,290,282,251,220,194,180,170,178,172,206,192,191
Luftemissionsart NH3,28,33,35,38,38,42,41,40,39,37,35,35,31,31,27,26,25,35,34,37,37,39
Luftemissionsart Feinst10,335,324,319,306,308,296,297,285,272,272,261,253,242,226,210,206,205,118,112,122,127,126
Luftemissionsart HFC,0,0,0,0,0,5,6,7,9,11,13,15,14,15,15,16,17,18,19,21,24,25
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,7028815,7594487,7484824,8067576,8257748,8287601,8939427,8631506,8033308,7866885,8037315,8812245,8202454,9125596,8720682,8702007,8284460,8254920,8573604,8394871,8869912,9232660
Luftemissionsart CH4,655,644,660,600,603,587,589,608,505,498,492,638,564,617,531,513,549,504,580,708,672,689
Luftemissionsart N2O,227,234,233,230,227,211,206,166,155,152,143,142,143,156,154,157,159,135,138,151,158,163
Luftemissionsart NOX,56610,54524,52749,51967,52559,50179,49346,46769,43914,42265,39638,38410,35631,31962,29135,26981,25131,17811,17841,19530,18922,18926
Luftemissionsart SO2,4347,3211,2528,2299,2102,1802,1822,1124,1030,922,984,915,599,1009,425,290,91,104,63,62,52,52
Luftemissionsart NMVOC,5949,5487,5052,4583,4251,3802,3602,3312,3038,2880,2657,2565,2295,2008,1795,1605,1459,1401,1343,1553,1423,1354
Luftemissionsart NH3,221,265,288,308,312,349,340,333,325,315,300,290,264,266,240,220,203,266,261,283,271,278
Luftemissionsart Feinst10,2955,2870,2816,2728,2755,2652,2666,2566,2450,2455,2361,2282,2185,2037,1906,1775,1683,900,838,845,854,827
Luftemissionsart HFC,0,0,0,0,0,68,80,92,100,110,126,150,154,174,190,197,203,214,219,225,239,241
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,5,5,5,5,5,125,122,123,123,123,123,124,204,204,204,185,185,185,186,186,186,186
Luftemissionsart CO2,946203,1033007,978897,1186020,1215744,1031749,1121320,1111725,1138248,1118427,1180725,1068822,1074556,1225779,982910,1051622,1037856,1010314,1084719,1039480,1340114,1361639
Luftemissionsart CH4,133,139,145,140,144,144,148,155,116,101,118,137,132,149,157,144,165,138,145,207,235,221
Luftemissionsart N2O,17,18,18,18,18,17,17,14,13,13,13,13,12,15,15,17,19,15,16,14,18,19
Luftemissionsart NOX,3554,3485,3353,3311,3331,3174,3158,3004,2803,2671,2557,2496,2284,2119,1994,2197,2300,1614,1660,1162,1550,1522
Luftemissionsart SO2,477,445,356,328,290,253,274,205,218,192,228,215,145,239,147,98,27,30,15,18,15,14
Luftemissionsart NMVOC,352,324,301,263,243,219,209,189,173,163,153,148,131,122,109,114,114,94,94,90,94,89
Luftemissionsart NH3,19,23,24,25,25,27,27,26,27,25,26,26,22,24,24,25,24,22,22,24,25,26
Luftemissionsart Feinst10,141,137,134,127,127,121,123,117,112,112,108,105,99,96,89,97,100,69,66,47,63,62
Luftemissionsart HFC,0,0,0,0,0,8,9,10,12,13,14,11,13,14,7,10,11,12,12,9,13,13
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,10312795,10804896,10313315,10115765,8942826,8479763,8658012,8463254,8089418,7576120,7872245,8794193,7345775,7481121,6948072,7517070,6856793,6728219,6712514,6991677,7169039,7437340
Luftemissionsart CH4,1659,1430,2662,2074,1224,1542,1441,1299,1234,1186,1272,1985,1801,1782,1585,2231,2479,3954,2538,2833,2875,2948
Luftemissionsart N2O,177,168,197,163,147,149,136,125,115,105,104,118,126,129,129,130,143,66,63,68,71,73
Luftemissionsart NOX,39467,36373,36333,36273,34075,32699,32493,31642,29148,27253,29778,27469,24867,22761,21331,21352,20020,12571,11761,12041,11695,11648
Luftemissionsart SO2,8059,7568,7766,5635,4534,4699,4507,3759,3520,3060,3054,3784,3629,3339,2751,2893,3154,1467,575,620,589,613
Luftemissionsart NMVOC,9563,7941,9098,9085,6517,6661,6132,6158,5444,4725,5398,4801,4160,3952,3832,3659,3529,2560,2463,2478,2340,2219
Luftemissionsart NH3,272,273,257,268,232,218,208,206,207,189,193,183,144,141,128,129,106,100,106,110,107,106
Luftemissionsart Feinst10,2587,2180,2780,2095,1753,1610,1541,1447,1347,1299,1459,1353,1276,1117,997,994,931,516,388,433,426,426
Luftemissionsart HFC,0,0,0,0,0,39,44,53,64,76,91,109,123,143,158,174,188,201,211,228,237,244
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,5187820,6359114,5592077,5564263,5228897,4771799,5531822,5259059,4472020,4275621,4540557,5141265,4009134,4960154,4280789,4440004,4018848,3981568,4204369,3686676,3778855,3864715
Luftemissionsart CH4,1793,1770,1766,1512,1493,1413,1466,1370,1018,1025,1228,1442,1224,1157,997,1144,1251,1898,1539,1655,1654,1651
Luftemissionsart N2O,46,52,48,42,40,38,43,41,34,33,33,37,29,38,31,35,34,34,33,30,31,32
Luftemissionsart NOX,4184,4779,4270,4184,3999,3688,4069,3838,3360,3188,3227,3431,2732,3150,2690,2837,2646,2798,2700,2494,2523,2561
Luftemissionsart SO2,3726,3753,3081,2379,2006,1735,1917,1812,1693,1446,1282,1162,745,1310,700,594,338,473,238,263,257,268
Luftemissionsart NMVOC,883,716,746,360,319,311,294,288,203,174,170,173,136,159,127,138,135,149,135,138,135,135
Luftemissionsart NH3,82,101,81,83,74,66,77,75,77,70,67,66,47,76,63,61,53,54,56,48,47,46
Luftemissionsart Feinst10,359,297,284,155,136,112,112,107,89,79,73,69,56,67,53,61,61,70,58,59,59,60
Luftemissionsart HFC,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,6338324,7618382,6989468,6707240,6509385,6110719,6971957,7092517,5956584,5727687,5658122,6693352,5461143,6837284,6399674,7049382,6408112,6555784,6805324,6802286,7350495,7976319
Luftemissionsart CH4,3228,2930,3068,2105,2112,2036,2061,2146,1515,1463,1461,1788,1623,1703,1552,1853,2047,3054,2418,2879,3185,3332
Luftemissionsart N2O,1180,1129,1078,1003,950,897,855,759,644,543,444,462,430,408,384,383,375,348,324,313,331,348
Luftemissionsart NOX,7692,8197,7727,7333,7295,6939,7338,7201,6326,6025,5766,6148,5232,5600,5059,5611,5377,5576,5452,5758,6100,6480
Luftemissionsart SO2,7511,6534,6153,3523,3124,2946,3118,3170,2419,2005,1935,2093,1540,2118,1390,1317,966,744,370,479,624,766
Luftemissionsart NMVOC,3659,2902,3054,1494,1332,1202,1075,1117,727,602,569,588,507,494,433,454,456,475,444,536,526,558
Luftemissionsart NH3,119,146,133,137,130,130,139,139,137,128,125,129,99,126,114,117,102,112,115,115,115,120
Luftemissionsart Feinst10,1180,916,931,428,389,317,306,315,230,205,196,199,178,182,158,175,177,201,177,197,211,223
Luftemissionsart HFC,0,0,0,0,0,21,24,29,36,45,55,67,79,93,105,117,129,139,147,157,164,170
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,9904282,10545095,9915401,10391310,10345549,10095048,10837174,8695929,7712294,7464330,7309287,7604806,6505305,7357842,6511966,6643961,6079283,6153801,6132547,4860316,5259596,5423520
Luftemissionsart CH4,1238,1168,1158,1076,1093,1060,1099,1199,990,981,930,961,798,747,620,883,940,2034,1445,1720,1775,1821
Luftemissionsart N2O,156,163,159,157,157,148,149,129,120,118,114,114,115,129,127,135,140,121,120,99,109,113
Luftemissionsart NOX,40112,39021,37697,37516,38241,36765,36660,34952,32763,31604,29802,28957,26677,24227,22005,20519,19013,15252,14549,11275,10273,9874
Luftemissionsart SO2,5230,4295,3293,2982,2647,2272,2404,1762,1516,1299,1363,1240,847,1261,583,582,586,681,370,406,623,626
Luftemissionsart NMVOC,3197,2944,2772,2432,2318,2295,2223,2080,1900,1799,2725,2846,2672,2478,2326,2202,2126,2080,2007,3109,1906,1878
Luftemissionsart NH3,133,154,142,153,148,151,159,151,144,137,137,133,108,127,106,102,92,107,106,88,98,97
Luftemissionsart Feinst10,2148,2060,1994,1877,1878,7417,7439,7371,7278,7273,7204,7135,7053,6931,6819,6723,6561,6225,6169,6023,6086,6113
Luftemissionsart HFC,0,0,0,0,0,172,180,186,189,165,168,176,126,111,83,79,79,80,80,53,58,57
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,236177870,251130481,253441305,246255614,237081823,233274697,250300679,243459090,243557798,236435229,231203287,231763540,205977643,224734447,221411583,235010428,216520061,218241196,227160794,204886874,212555116,220216379
Luftemissionsart CH4,86274,85350,80582,76003,74177,70384,71700,67815,67231,63988,62638,61954,58603,60577,61230,70845,64957,59211,60311,54167,57398,60886
Luftemissionsart N2O,6886,6984,6841,6539,6320,5855,5774,4703,4299,3976,3648,3621,3405,3498,3369,3681,3666,3158,3192,2992,3085,3153
Luftemissionsart NOX,686241,663177,638441,616390,603296,567209,559737,522947,491192,464979,432144,416767,376940,347501,319513,319857,303181,268164,279895,271424,275380,277790
Luftemissionsart SO2,167182,154936,128176,108738,92849,80558,85777,67862,60824,50419,49094,52958,37214,47947,35219,37929,30413,19550,16814,14461,16047,15741
Luftemissionsart NMVOC,999096,955970,917515,873551,813965,751167,696197,619113,574358,545898,357641,366147,344059,317217,313124,358233,318906,297779,304081,282642,284014,289420
Luftemissionsart NH3,20275,23418,26519,28065,28430,32172,31057,30048,29143,27907,25741,24933,23156,22181,20884,19445,18720,17082,16367,15464,14582,14534
Luftemissionsart Feinst10,82389,79957,81220,75680,78678,71267,71709,69813,68743,68077,64925,64885,62303,60445,60343,66939,61169,53895,53954,48935,50089,50716
Luftemissionsart HFC,0,0,0,0,0,1390,1662,1901,2067,2190,2342,2405,2342,2379,2495,2683,2729,2775,2836,2836,2922,2882
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,463,470,471,468,462,454,443,430,415,399,380,359,337,314,290,266,240
